"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"USB key or flash drive",,TestingAsset,"Careless User","Loss of Equipment","Endpoint Leakage","Device Handling Policy and Procedures",,,"07/30/2018 04:09","07/30/2018 04:09",Yes,Yes
"USB key or flash drive",,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"07/30/2018 04:00","07/30/2018 04:00",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"07/30/2018 03:59","07/30/2018 03:59",TBD,"In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Physical Security Deficiencies","Physical Access Authorization",,,"07/30/2018 03:36","07/30/2018 03:36",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"07/30/2018 04:00","07/30/2018 04:00",No,No
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"07/30/2018 04:00","07/30/2018 04:00","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"07/30/2018 04:00","07/30/2018 04:00",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"07/30/2018 03:59","07/30/2018 03:59","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Insecure User Management","Dormant Accounts","Access Logging",,,"07/30/2018 03:59","07/30/2018 03:59",Yes,Yes
Laptop,,TestingAsset,"Power Outage/Interruption","Loss of Electrical Power","Insufficient Power Capacity","DR/BC Plans",,,"07/30/2018 04:01","07/30/2018 04:01","In progress","In progress"
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"07/30/2018 03:59","07/30/2018 03:59",N/A,N/A
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-Malware Software",,,"07/30/2018 03:59","07/30/2018 03:59",No,No
Laptop,,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","Endpoint Leakage","Acceptable Use Policy",,,"07/30/2018 03:59","07/30/2018 03:59",Yes,Yes
Laptop,,TestingAsset,"Careless User","Loss of Equipment","Improper Media/Device Handling","Device Handling Policy and Procedures",,,"07/30/2018 04:09","07/30/2018 04:09",Yes,Yes
Laptop,,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"07/30/2018 03:59","07/30/2018 03:59",No,No
Laptop,,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"07/30/2018 04:00","07/30/2018 04:00",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"07/30/2018 03:59","07/30/2018 03:59",TBD,"In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Physical Security Deficiencies","Physical Access Authorization",,,"07/30/2018 03:36","07/30/2018 03:36",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"07/30/2018 04:00","07/30/2018 04:00",No,No
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"07/30/2018 04:00","07/30/2018 04:00","In progress","In progress"
