15.1%,"Control Name",Media/Label,Asset(s),Answer,Notes
100%,"Acceptable Use Policy",,,,0
,"Acceptable Use Policy","Backup Media",NewAsset,Yes,
,"Acceptable Use Policy","Desktop or Laptop",NewAsset,Yes,
,"Acceptable Use Policy","Disk Array",NewAsset,Yes,
,"Acceptable Use Policy",Laptop,NewAsset,Yes,
100%,"Access Logging",,,,0
,"Access Logging","Desktop or Laptop",NewAsset,Yes,
,"Access Logging","Disk Array",NewAsset,Yes,
,"Access Logging",Laptop,NewAsset,Yes,
100%,"Accounts Lock After Too Many Failed Logins",,,,0
,"Accounts Lock After Too Many Failed Logins","Desktop or Laptop",NewAsset,Yes,
,"Accounts Lock After Too Many Failed Logins","Disk Array",NewAsset,In_progress,
,"Accounts Lock After Too Many Failed Logins",Laptop,NewAsset,In_progress,
100%,"Activity Logging",,,,0
,"Activity Logging","Desktop or Laptop",NewAsset,No,
,"Activity Logging",Laptop,NewAsset,No,
100%,"Anti-Malware Software",,,,0
,"Anti-Malware Software","Desktop or Laptop",NewAsset,Na,
,"Anti-Malware Software","Disk Array",NewAsset,Na,
,"Anti-Malware Software",Laptop,NewAsset,Na,
100%,"Anti-virus Policy and Procedures",,,,1
,"Anti-virus Policy and Procedures","Desktop or Laptop",NewAsset,In_progress,
,"Anti-virus Policy and Procedures","Disk Array",NewAsset,In_progress,
,"Anti-virus Policy and Procedures",Laptop,NewAsset,In_progress,
100%,"Application Code Review",,,,0
,"Application Code Review","Desktop or Laptop",NewAsset,No,
,"Application Code Review","Disk Array",NewAsset,No,
,"Application Code Review",Laptop,NewAsset,No,
100%,"Application or Data Partitioning",,,,0
,"Application or Data Partitioning","Desktop or Laptop",NewAsset,Yes,
,"Application or Data Partitioning","Disk Array",NewAsset,Yes,
,"Application or Data Partitioning",Laptop,NewAsset,Yes,
100%,"Application Patching",,,,0
,"Application Patching","Desktop or Laptop",NewAsset,In_progress,
,"Application Patching",Laptop,NewAsset,In_progress,
100%,"Application Penetration and Vulnerability Testing",,,,0
,"Application Penetration and Vulnerability Testing","Desktop or Laptop",NewAsset,No,
,"Application Penetration and Vulnerability Testing","Disk Array",NewAsset,No,
,"Application Penetration and Vulnerability Testing",Laptop,NewAsset,No,
0%,"Application, Network, or System Penetration Testing",,,,0
,"Application, Network, or System Penetration Testing","Desktop or Laptop",NewAsset,,
,"Application, Network, or System Penetration Testing",Laptop,NewAsset,,
0%,"Application, Network, or System Vulnerability Testing",,,,0
,"Application, Network, or System Vulnerability Testing","Desktop or Laptop",NewAsset,,
,"Application, Network, or System Vulnerability Testing",Laptop,NewAsset,,
0%,"Authentication of Network Sessions (as Distinct From Users)",,,,0
,"Authentication of Network Sessions (as Distinct From Users)","Disk Array",NewAsset,,
0%,"Auto Logoff or Auto Screen Locking",,,,0
,"Auto Logoff or Auto Screen Locking","Desktop or Laptop",NewAsset,,
,"Auto Logoff or Auto Screen Locking","Disk Array",NewAsset,,
100%,"Backup Media Handling Policy and Procedures",,,,0
,"Backup Media Handling Policy and Procedures","Backup Media",NewAsset,Yes,
0%,"Backup Media Testing and Validation Policy and Procedures",,,,0
,"Backup Media Testing and Validation Policy and Procedures","Desktop or Laptop",NewAsset,,
,"Backup Media Testing and Validation Policy and Procedures",Laptop,NewAsset,,
0%,"Capacity Planning",,,,0
,"Capacity Planning","Desktop or Laptop",NewAsset,,
,"Capacity Planning","Disk Array",NewAsset,,
,"Capacity Planning",Laptop,NewAsset,,
0%,"Central Monitoring of Endpoint Protection Software",,,,0
,"Central Monitoring of Endpoint Protection Software","Desktop or Laptop",NewAsset,,
,"Central Monitoring of Endpoint Protection Software","Disk Array",NewAsset,,
,"Central Monitoring of Endpoint Protection Software",Laptop,NewAsset,,
0%,"Centralized Patch Management",,,,0
,"Centralized Patch Management","Desktop or Laptop",NewAsset,,
,"Centralized Patch Management",Laptop,NewAsset,,
0%,"Change Control Processes",,,,0
,"Change Control Processes","Desktop or Laptop",NewAsset,,
,"Change Control Processes","Disk Array",NewAsset,,
,"Change Control Processes",Laptop,NewAsset,,
,"Change Control Processes",Pager,NewAsset,,
100%,"Contingency Plans",,,,0
,"Contingency Plans","Desktop or Laptop",NewAsset,Yes,
,"Contingency Plans","Disk Array",NewAsset,Yes,
,"Contingency Plans",Laptop,NewAsset,Yes,
100%,"Contractual Agreements",,,,0
,"Contractual Agreements","Contractors / Consultants",NewAsset,In_progress,
0%,"Controlled Access to Areas with Mobile Devices",,,,0
,"Controlled Access to Areas with Mobile Devices","Desktop or Laptop",NewAsset,,
,"Controlled Access to Areas with Mobile Devices",Laptop,NewAsset,,
0%,"Controls Around User-installed Software",,,,0
,"Controls Around User-installed Software","Desktop or Laptop",NewAsset,,
,"Controls Around User-installed Software",Laptop,NewAsset,,
100%,"Cross-functional Training",,,,0
,"Cross-functional Training","Desktop or Laptop",NewAsset,No,
,"Cross-functional Training",Laptop,NewAsset,No,
0%,"Data Backup",,,,0
,"Data Backup","Desktop or Laptop",NewAsset,,
,"Data Backup","Disk Array",NewAsset,,
,"Data Backup",Laptop,NewAsset,,
0%,"Data Input Validation",,,,0
,"Data Input Validation","Contractors / Consultants",NewAsset,,
,"Data Input Validation","Desktop or Laptop",NewAsset,,
,"Data Input Validation","Disk Array",NewAsset,,
,"Data Input Validation",Laptop,NewAsset,,
0%,"Data Loss Prevention Tools",,,,0
,"Data Loss Prevention Tools","Desktop or Laptop",NewAsset,,
,"Data Loss Prevention Tools","Disk Array",NewAsset,,
,"Data Loss Prevention Tools",Laptop,NewAsset,,
100%,"Data Retention Policy and Procedures",,,,0
,"Data Retention Policy and Procedures","Desktop or Laptop",NewAsset,Yes,
,"Data Retention Policy and Procedures",Laptop,NewAsset,Yes,
100%,"Device Handling Policy and Procedures",,,,0
,"Device Handling Policy and Procedures",Laptop,NewAsset,In_progress,
,"Device Handling Policy and Procedures",Pager,NewAsset,In_progress,
,"Device Handling Policy and Procedures","USB key or flash drive",NewAsset,In_progress,
0%,"Device Testing and Validation Policy and Procedures",,,,0
,"Device Testing and Validation Policy and Procedures",Pager,NewAsset,,
,"Device Testing and Validation Policy and Procedures","USB key or flash drive",NewAsset,,
0%,"Distributed Processing or Storage",,,,0
,"Distributed Processing or Storage","Disk Array",NewAsset,,
0%,"Documented Security Roles in the System Development Life Cycle",,,,0
,"Documented Security Roles in the System Development Life Cycle","Desktop or Laptop",NewAsset,,
,"Documented Security Roles in the System Development Life Cycle","Disk Array",NewAsset,,
,"Documented Security Roles in the System Development Life Cycle",Laptop,NewAsset,,
0%,"Documented System Development Life Cycle",,,,0
,"Documented System Development Life Cycle","Desktop or Laptop",NewAsset,,
,"Documented System Development Life Cycle","Disk Array",NewAsset,,
,"Documented System Development Life Cycle",Laptop,NewAsset,,
0%,"Domain/Device Authentication",,,,0
,"Domain/Device Authentication","Desktop or Laptop",NewAsset,,
,"Domain/Device Authentication",Laptop,NewAsset,,
,"Domain/Device Authentication",Pager,NewAsset,,
,"Domain/Device Authentication","USB key or flash drive",NewAsset,,
0%,"Employee Supervision",,,,0
,"Employee Supervision","Desktop or Laptop",NewAsset,,
,"Employee Supervision","Disk Array",NewAsset,,
,"Employee Supervision",Laptop,NewAsset,,
100%,"Encryption of Backup Media",,,,0
,"Encryption of Backup Media","Backup Media",NewAsset,No,
0%,"Encryption of Device",,,,0
,"Encryption of Device",Laptop,NewAsset,,
,"Encryption of Device",Pager,NewAsset,,
,"Encryption of Device","USB key or flash drive",NewAsset,,
0%,"Encryption of Disks (Full Disk, File Based, etc.)",,,,0
,"Encryption of Disks (Full Disk, File Based, etc.)","Desktop or Laptop",NewAsset,,
,"Encryption of Disks (Full Disk, File Based, etc.)","Disk Array",NewAsset,,
,"Encryption of Disks (Full Disk, File Based, etc.)",Laptop,NewAsset,,
0%,"Encryption of Network Traffic",,,,0
,"Encryption of Network Traffic","Desktop or Laptop",NewAsset,,
,"Encryption of Network Traffic","Disk Array",NewAsset,,
,"Encryption of Network Traffic",Laptop,NewAsset,,
0%,"Endpoint Firewalls Enabled",,,,0
,"Endpoint Firewalls Enabled","Desktop or Laptop",NewAsset,,
,"Endpoint Firewalls Enabled","Disk Array",NewAsset,,
,"Endpoint Firewalls Enabled",Laptop,NewAsset,,
0%,"Environmental Controls",,,,0
,"Environmental Controls","Desktop or Laptop",NewAsset,,
,"Environmental Controls",Laptop,NewAsset,,
0%,"Error Message Sanitization",,,,0
,"Error Message Sanitization","Desktop or Laptop",NewAsset,,
,"Error Message Sanitization",Laptop,NewAsset,,
0%,"Event Correlation",,,,0
,"Event Correlation","Desktop or Laptop",NewAsset,,
,"Event Correlation",Laptop,NewAsset,,
0%,"Fake Data to Attract Misuse (Honeypot Records)",,,,0
,"Fake Data to Attract Misuse (Honeypot Records)","Desktop or Laptop",NewAsset,,
,"Fake Data to Attract Misuse (Honeypot Records)","Disk Array",NewAsset,,
,"Fake Data to Attract Misuse (Honeypot Records)",Laptop,NewAsset,,
0%,"Fire Detection/Suppression Systems",,,,0
,"Fire Detection/Suppression Systems","Desktop or Laptop",NewAsset,,
,"Fire Detection/Suppression Systems","Disk Array",NewAsset,,
,"Fire Detection/Suppression Systems",Laptop,NewAsset,,
,"Fire Detection/Suppression Systems","USB key or flash drive",NewAsset,,
0%,"Firmware Patching",,,,0
,"Firmware Patching","Desktop or Laptop",NewAsset,,
,"Firmware Patching",Laptop,NewAsset,,
0%,"Identification and Authentication Policy and Procedures",,,,0
,"Identification and Authentication Policy and Procedures","Desktop or Laptop",NewAsset,,
,"Identification and Authentication Policy and Procedures","Disk Array",NewAsset,,
,"Identification and Authentication Policy and Procedures",Laptop,NewAsset,,
0%,"Identified Security Roles",,,,0
,"Identified Security Roles","Desktop or Laptop",NewAsset,,
,"Identified Security Roles","Disk Array",NewAsset,,
