"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies","Physical Access Authorization",,,"06/29/2018 00:26","06/29/2018 00:27",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies",TestControls,,,"06/29/2018 00:26","06/29/2018 00:26",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Encryption of Backup Media",,,"06/29/2018 00:28","06/29/2018 00:32",TBD,No
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Offsite Backup Media Storage",,,"06/29/2018 02:56","06/29/2018 02:56",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Secure Storage of Backup Media When Not in Use",,,"06/29/2018 00:29","06/29/2018 00:29",TBD,No
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Inventory Control Process",,,"06/29/2018 00:29","06/29/2018 00:29",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Control",,,"06/29/2018 00:29","06/29/2018 00:29",TBD,No
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Monitoring",,,"06/29/2018 00:29","06/29/2018 00:29",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Visitor Access Control",,,"06/29/2018 00:29","06/29/2018 00:29",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Corruption or Destruction of Important Data","Lack of Data Validation","Tamper-proof Mechanisms",,,"06/29/2018 00:30","06/29/2018 00:30",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"06/29/2018 00:31","06/29/2018 00:31",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Media/Device Reuse and Disposal Policy and Procedures",,,"06/29/2018 00:31","06/29/2018 02:04",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Acceptable Use Policy",,,"06/29/2018 00:32","06/29/2018 02:24",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Tracking of Backup Media",,,"06/29/2018 00:32","06/29/2018 00:32",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless User","Physical Damage to Equipment",Accidents,"Backup Media Handling Policy and Procedures",,,"06/29/2018 00:32","06/29/2018 00:32",TBD,Yes
"Desktop or Laptop",,TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies","Physical Access Authorization",,,"06/29/2018 00:26","06/29/2018 00:27",Yes,Yes
"Desktop or Laptop",,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
"Desktop or Laptop",,TestingAsset,"Careless User","Information Leakage","Endpoint Leakage","Acceptable Use Policy",,,"06/29/2018 02:24","06/29/2018 02:24",Yes,Yes
"Desktop or Laptop",,TestingAsset,"Careless User","Installation of Malicious Software","Untrained/Untested Staff","Anti-Malware Software",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
"Desktop or Laptop",,TestingAsset,"Malicious User","Insecure User Management","Dormant Accounts","Access Logging",,,"06/29/2018 02:25","06/29/2018 02:25",Yes,Yes
"Desktop or Laptop",,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"06/29/2018 02:25","06/29/2018 02:25",TBD,Yes
"Desktop or Laptop",,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"06/29/2018 02:25","06/29/2018 02:25",N/A,N/A
