"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
Pager,,"Pager Media","System Cracker","Theft of Sensitive Data","System Configuration Deficiencies","Change Control Processes",,,"07/16/2018 09:20","07/16/2018 09:20",Yes,Yes
Pager,,"Pager Media",Entropy,"Hardware Failure","Old or Outdated Equipment","Device Testing and Validation Policy and Procedures",,,"07/16/2018 09:03","07/16/2018 09:03",TBD,Yes
Pager,,"Pager Media","Careless User","Physical Damage to Equipment",Accidents,"Redundant or Spare Equipment",,,"07/16/2018 09:02","07/16/2018 09:02",TBD,Yes
Pager,,"Pager Media","Careless User","Loss of Equipment","Endpoint Leakage","Remote Wipe/Remote Lock",,,"07/16/2018 09:01","07/16/2018 09:02",TBD,No
Pager,,"Pager Media","Careless User","Loss of Equipment","Endpoint Leakage","Domain/Device Authentication",,,"07/16/2018 09:01","07/16/2018 09:01",TBD,"In progress"
Pager,,"Pager Media","Careless User","Loss of Equipment","Endpoint Leakage","Device Handling Policy and Procedures",,,"07/16/2018 09:01","07/16/2018 09:01",TBD,Yes
Pager,,"Pager Media","Careless IT Personnel","Loss of Equipment","Improper Media/Device Handling","Tracking of Device",,,"07/16/2018 09:01","07/16/2018 09:01",TBD,Yes
Pager,,"Pager Media","Careless IT Personnel","Loss of Equipment","Improper Media/Device Handling","Encryption of Device",,,"07/16/2018 09:00","07/16/2018 09:00",TBD,Yes
Pager,,"Pager Media","Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Media/Device Re-use and Disposal Policy and Procedures",,,"07/16/2018 08:58","07/16/2018 08:58",TBD,No
Pager,,"Pager Media",Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies","Physically Securing Devices or Systems When Not in Use",,,"07/16/2018 08:58","07/16/2018 08:58",TBD,"In progress"
Pager,,"Pager Media",Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies","Inventory Control Process",,,"07/16/2018 08:57","07/16/2018 08:57",TBD,Yes
Laptop,"sample Backup label",TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"07/16/2018 09:12","07/16/2018 09:12",TBD,"In progress"
Laptop,"sample Backup label",TestingAsset,"System Cracker","Theft of Sensitive Data","System Configuration Deficiencies","Change Control Processes",,,"07/16/2018 09:20","07/16/2018 09:20",Yes,Yes
Laptop,"sample Backup label",TestingAsset,"System Cracker","Theft of Sensitive Data","Excessive User Permissions","Activity Logging",,,"07/16/2018 09:12","07/16/2018 09:12",No,No
Laptop,"sample Backup label",TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"07/16/2018 09:12","07/16/2018 09:12",No,No
Laptop,"sample Backup label",TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"07/16/2018 09:12","07/16/2018 09:12",No,No
