12.9%,"Control Name",Media/Label,Asset(s),Answer,Notes
100%,"Acceptable Use Policy",,,,0
,"Acceptable Use Policy","Backup Media",www,Yes,
,"Acceptable Use Policy","Desktop or Laptop",www,Yes,
,"Acceptable Use Policy","Disk Array",www,Yes,
,"Acceptable Use Policy",Laptop,www,Yes,
100%,"Access Logging",,,,0
,"Access Logging","Desktop or Laptop",www,Yes,
,"Access Logging","Disk Array",www,Yes,
,"Access Logging",Laptop,www,Yes,
100%,"Accounts Lock After Too Many Failed Logins",,,,0
,"Accounts Lock After Too Many Failed Logins","Desktop or Laptop",www,Yes,
,"Accounts Lock After Too Many Failed Logins","Disk Array",www,In_progress,
,"Accounts Lock After Too Many Failed Logins",Laptop,www,In_progress,
100%,"Activity Logging",,,,0
,"Activity Logging","Desktop or Laptop",www,No,
,"Activity Logging",Laptop,www,No,
100%,"Anti-Malware Software",,,,0
,"Anti-Malware Software","Desktop or Laptop",www,Na,
,"Anti-Malware Software","Disk Array",www,Na,
,"Anti-Malware Software",Laptop,www,Na,
100%,"Anti-virus Policy and Procedures",,,,1
,"Anti-virus Policy and Procedures","Desktop or Laptop",www,In_progress,
,"Anti-virus Policy and Procedures","Disk Array",www,In_progress,
,"Anti-virus Policy and Procedures",Laptop,www,In_progress,
100%,"Application Code Review",,,,0
,"Application Code Review","Desktop or Laptop",www,No,
,"Application Code Review","Disk Array",www,No,
,"Application Code Review",Laptop,www,No,
100%,"Application or Data Partitioning",,,,0
,"Application or Data Partitioning","Desktop or Laptop",www,Yes,
,"Application or Data Partitioning","Disk Array",www,Yes,
,"Application or Data Partitioning",Laptop,www,Yes,
100%,"Application Patching",,,,0
,"Application Patching","Desktop or Laptop",www,In_progress,
,"Application Patching",Laptop,www,In_progress,
100%,"Application Penetration and Vulnerability Testing",,,,0
,"Application Penetration and Vulnerability Testing","Desktop or Laptop",www,No,
,"Application Penetration and Vulnerability Testing","Disk Array",www,No,
,"Application Penetration and Vulnerability Testing",Laptop,www,No,
0%,"Application, Network, or System Penetration Testing",,,,0
,"Application, Network, or System Penetration Testing","Desktop or Laptop",www,,
,"Application, Network, or System Penetration Testing",Laptop,www,,
0%,"Application, Network, or System Vulnerability Testing",,,,0
,"Application, Network, or System Vulnerability Testing","Desktop or Laptop",www,,
,"Application, Network, or System Vulnerability Testing",Laptop,www,,
0%,"Authentication of Network Sessions (as Distinct From Users)",,,,0
,"Authentication of Network Sessions (as Distinct From Users)","Disk Array",www,,
0%,"Auto Logoff or Auto Screen Locking",,,,0
,"Auto Logoff or Auto Screen Locking","Desktop or Laptop",www,,
,"Auto Logoff or Auto Screen Locking","Disk Array",www,,
100%,"Backup Media Handling Policy and Procedures",,,,0
,"Backup Media Handling Policy and Procedures","Backup Media",www,Yes,
0%,"Backup Media Testing and Validation Policy and Procedures",,,,0
,"Backup Media Testing and Validation Policy and Procedures","Desktop or Laptop",www,,
,"Backup Media Testing and Validation Policy and Procedures",Laptop,www,,
0%,"Capacity Planning",,,,0
,"Capacity Planning","Desktop or Laptop",www,,
,"Capacity Planning","Disk Array",www,,
,"Capacity Planning",Laptop,www,,
0%,"Central Monitoring of Endpoint Protection Software",,,,0
,"Central Monitoring of Endpoint Protection Software","Desktop or Laptop",www,,
,"Central Monitoring of Endpoint Protection Software","Disk Array",www,,
,"Central Monitoring of Endpoint Protection Software",Laptop,www,,
0%,"Centralized Patch Management",,,,0
,"Centralized Patch Management","Desktop or Laptop",www,,
,"Centralized Patch Management",Laptop,www,,
0%,"Change Control Processes",,,,0
,"Change Control Processes","Desktop or Laptop",www,,
,"Change Control Processes","Disk Array",www,,
,"Change Control Processes",Laptop,www,,
,"Change Control Processes",Pager,www,,
100%,"Contingency Plans",,,,0
,"Contingency Plans","Desktop or Laptop",www,Yes,
,"Contingency Plans","Disk Array",www,Yes,
,"Contingency Plans",Laptop,www,Yes,
0%,"Contractual Agreements",,,,0
,"Contractual Agreements","Contractors / Consultants",www,,
0%,"Controlled Access to Areas with Mobile Devices",,,,0
,"Controlled Access to Areas with Mobile Devices","Desktop or Laptop",www,,
,"Controlled Access to Areas with Mobile Devices",Laptop,www,,
0%,"Controls Around User-installed Software",,,,0
,"Controls Around User-installed Software","Desktop or Laptop",www,,
,"Controls Around User-installed Software",Laptop,www,,
0%,"Cross-functional Training",,,,0
,"Cross-functional Training","Desktop or Laptop",www,,
,"Cross-functional Training",Laptop,www,,
0%,"Data Backup",,,,0
,"Data Backup","Desktop or Laptop",www,,
,"Data Backup","Disk Array",www,,
,"Data Backup",Laptop,www,,
0%,"Data Input Validation",,,,0
,"Data Input Validation","Contractors / Consultants",www,,
,"Data Input Validation","Desktop or Laptop",www,,
,"Data Input Validation","Disk Array",www,,
,"Data Input Validation",Laptop,www,,
0%,"Data Loss Prevention Tools",,,,0
,"Data Loss Prevention Tools","Desktop or Laptop",www,,
,"Data Loss Prevention Tools","Disk Array",www,,
,"Data Loss Prevention Tools",Laptop,www,,
0%,"Data Retention Policy and Procedures",,,,0
,"Data Retention Policy and Procedures","Desktop or Laptop",www,,
,"Data Retention Policy and Procedures",Laptop,www,,
0%,"Device Handling Policy and Procedures",,,,0
,"Device Handling Policy and Procedures",Laptop,www,,
,"Device Handling Policy and Procedures",Pager,www,,
,"Device Handling Policy and Procedures","USB key or flash drive",www,,
0%,"Device Testing and Validation Policy and Procedures",,,,0
,"Device Testing and Validation Policy and Procedures",Pager,www,,
,"Device Testing and Validation Policy and Procedures","USB key or flash drive",www,,
0%,"Distributed Processing or Storage",,,,0
,"Distributed Processing or Storage","Disk Array",www,,
0%,"Documented Security Roles in the System Development Life Cycle",,,,0
,"Documented Security Roles in the System Development Life Cycle","Desktop or Laptop",www,,
,"Documented Security Roles in the System Development Life Cycle","Disk Array",www,,
,"Documented Security Roles in the System Development Life Cycle",Laptop,www,,
0%,"Documented System Development Life Cycle",,,,0
,"Documented System Development Life Cycle","Desktop or Laptop",www,,
,"Documented System Development Life Cycle","Disk Array",www,,
,"Documented System Development Life Cycle",Laptop,www,,
0%,"Domain/Device Authentication",,,,0
,"Domain/Device Authentication","Desktop or Laptop",www,,
,"Domain/Device Authentication",Laptop,www,,
