"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"06/28/2018 07:05","06/28/2018 07:05",TBD,"In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"06/28/2018 07:14","06/28/2018 07:14",TBD,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"06/28/2018 07:06","06/28/2018 07:06","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"06/28/2018 07:06","06/28/2018 07:06",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"06/28/2018 07:06","06/28/2018 07:06","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Insecure User Management","Dormant Accounts","Access Logging",,,"06/28/2018 07:05","06/28/2018 07:05",Yes,Yes
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"06/28/2018 07:06","06/28/2018 07:06",N/A,N/A
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-Malware Software",,,"06/28/2018 07:06","06/28/2018 07:06",No,No
Laptop,,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","Endpoint Leakage","Acceptable Use Policy",,,"06/28/2018 07:05","06/28/2018 07:05",Yes,Yes
Laptop,,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"06/28/2018 07:06","06/28/2018 07:06",No,No
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"06/28/2018 07:05","06/28/2018 07:05",TBD,"In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"06/28/2018 07:06","06/28/2018 07:06","In progress","In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"06/28/2018 07:06","06/28/2018 07:06",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"06/28/2018 07:06","06/28/2018 07:06","In progress","In progress"
"Disk Array",,TestingAsset,"System Cracker","Insecure User Management","Dormant Accounts","Access Logging",,,"06/28/2018 07:05","06/28/2018 07:05",Yes,Yes
"Disk Array",,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"06/28/2018 07:06","06/28/2018 07:06",N/A,N/A
