14.5%,"Control Name",Media/Label,Asset(s),Answer,Notes
100%,"Acceptable Use Policy",,,,1
,"Acceptable Use Policy","Backup Media / sample Backup label",TestingAsset,Yes,
,"Acceptable Use Policy","Desktop or Laptop",TestingAsset,Yes,
,"Acceptable Use Policy","Disk Array",TestingAsset,Yes,
,"Acceptable Use Policy",Laptop,TestingAsset,Yes,
100%,"Access Logging",,,,0
,"Access Logging","Desktop or Laptop",TestingAsset,Yes,
,"Access Logging","Disk Array",TestingAsset,Yes,
,"Access Logging",Laptop,TestingAsset,Yes,
100%,"Accounts Lock After Too Many Failed Logins",,,,0
,"Accounts Lock After Too Many Failed Logins","Desktop or Laptop",TestingAsset,Yes,
,"Accounts Lock After Too Many Failed Logins","Disk Array",TestingAsset,In_progress,
,"Accounts Lock After Too Many Failed Logins",Laptop,TestingAsset,In_progress,
100%,"Anti-Malware Software",,,,0
,"Anti-Malware Software","Desktop or Laptop",TestingAsset,No,
,"Anti-Malware Software","Disk Array",TestingAsset,No,
,"Anti-Malware Software",Laptop,TestingAsset,No,
100%,"Anti-virus Policy and Procedures",,,,0
,"Anti-virus Policy and Procedures","Desktop or Laptop",TestingAsset,Na,
,"Anti-virus Policy and Procedures","Disk Array",TestingAsset,Na,
,"Anti-virus Policy and Procedures",Laptop,TestingAsset,Na,
100%,"Application Code Review",,,,0
,"Application Code Review","Desktop or Laptop",TestingAsset,In_progress,
,"Application Code Review","Disk Array",TestingAsset,In_progress,
,"Application Code Review",Laptop,TestingAsset,In_progress,
100%,"Application or Data Partitioning",,,,0
,"Application or Data Partitioning","Desktop or Laptop",TestingAsset,No,
,"Application or Data Partitioning","Disk Array",TestingAsset,No,
,"Application or Data Partitioning",Laptop,TestingAsset,No,
100%,"Application Penetration and Vulnerability Testing",,,,0
,"Application Penetration and Vulnerability Testing","Desktop or Laptop",TestingAsset,Yes,
,"Application Penetration and Vulnerability Testing","Disk Array",TestingAsset,Yes,
,"Application Penetration and Vulnerability Testing",Laptop,TestingAsset,Yes,
100%,"Authentication of Network Sessions (as Distinct From Users)",,,,0
,"Authentication of Network Sessions (as Distinct From Users)","Desktop or Laptop",TestingAsset,In_progress,
,"Authentication of Network Sessions (as Distinct From Users)","Disk Array",TestingAsset,In_progress,
,"Authentication of Network Sessions (as Distinct From Users)",Laptop,TestingAsset,In_progress,
100%,"Auto Logoff or Auto Screen Locking",,,,0
,"Auto Logoff or Auto Screen Locking","Desktop or Laptop",TestingAsset,No,
,"Auto Logoff or Auto Screen Locking","Disk Array",TestingAsset,No,
,"Auto Logoff or Auto Screen Locking",Laptop,TestingAsset,No,
100%,"Backup Media Handling Policy and Procedures",,,,0
,"Backup Media Handling Policy and Procedures","Backup Media / sample Backup label",TestingAsset,Yes,
0%,"Capacity Planning",,,,0
,"Capacity Planning","Desktop or Laptop",TestingAsset,,
,"Capacity Planning","Disk Array",TestingAsset,,
,"Capacity Planning",Laptop,TestingAsset,,
0%,"Central Monitoring of Endpoint Protection Software",,,,0
,"Central Monitoring of Endpoint Protection Software","Desktop or Laptop",TestingAsset,,
,"Central Monitoring of Endpoint Protection Software","Disk Array",TestingAsset,,
,"Central Monitoring of Endpoint Protection Software",Laptop,TestingAsset,,
0%,"Change Control Processes",,,,0
,"Change Control Processes","Desktop or Laptop",TestingAsset,,
,"Change Control Processes","Disk Array",TestingAsset,,
,"Change Control Processes",Laptop,TestingAsset,,
,"Change Control Processes",Pager," Pager Media",,
0%,"Contractual Agreements",,,,0
,"Contractual Agreements","Contractors / Consultants",TestingAsset,,
0%,"Controlled Access to Areas with Mobile Devices",,,,0
,"Controlled Access to Areas with Mobile Devices","Desktop or Laptop",TestingAsset,,
,"Controlled Access to Areas with Mobile Devices",Laptop,TestingAsset,,
0%,"Controls Around User-installed Software",,,,0
